"","Award.Year","Winner.Id","Full.Name","Field","Prize","Prize.Amount","Prize.Amount.Adjusted","Prize.Share","Motivation","Date.Awarded","DOB","age"
"421","1966","87","Alfred Kastler","Physics","The Nobel Prize in Physics",300000,2835149,"1","for the discovery and development of optical methods for studying Hertzian resonances in atoms",NA,"1902-05-03",0
"422","1966","383","Peyton Rous","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",300000,2835149,"1/2","for his discovery of tumour-inducing viruses",NA,"1879-10-05",0
"423","1966","384","Charles B. Huggins","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",300000,2835149,"1/2","for his discoveries concerning hormonal treatment of prostatic cancer",NA,"1901-09-22",0
"424","1967","233","Manfred Eigen","Chemistry","The Nobel Prize in Chemistry",320000,2895166,"1/2","for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",NA,"1927-05-09",0
"425","1967","234","Ronald G.W. Norrish","Chemistry","The Nobel Prize in Chemistry",320000,2895166,"1/4","for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",NA,"1897-11-09",0
"426","1967","235","George Porter","Chemistry","The Nobel Prize in Chemistry",320000,2895166,"1/4","for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",NA,"1920-12-06",0
"427","1967","641","Miguel Angel Asturias","Literature","The Nobel Prize in Literature",320000,2895166,"1","for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America",NA,"1899-10-19",0
"428","1967",NA,NA,"Peace","The Nobel Peace Prize",320000,2895166,NA,NA,NA,NA,0
"429","1967","88","Hans Bethe","Physics","The Nobel Prize in Physics",320000,2895166,"1","for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars",NA,"1906-07-02",0
"430","1967","385","Ragnar Granit","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",320000,2895166,"1/3","for their discoveries concerning the primary physiological and chemical visual processes in the eye",NA,"1900-10-30",0
"431","1967","386","Keffer Hartline","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",320000,2895166,"1/3","for their discoveries concerning the primary physiological and chemical visual processes in the eye",NA,"1903-12-22",0
"432","1967","387","George Wald","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",320000,2895166,"1/3","for their discoveries concerning the primary physiological and chemical visual processes in the eye",NA,"1906-11-18",0
"433","1968","236","Lars Onsager","Chemistry","The Nobel Prize in Chemistry",350000,3107674,"1","for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes",NA,"1903-11-27",0
"434","1968","642","Yasunari Kawabata","Literature","The Nobel Prize in Literature",350000,3107674,"1","for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind",NA,"1899-06-11",0
"435","1968","526","René Cassin","Peace","The Nobel Peace Prize",350000,3107674,"1","for his struggle to ensure the rights of man as stipulated in the UN Declaration","1968-10-09","1887-10-05",0
"436","1968","89","Luis Alvarez","Physics","The Nobel Prize in Physics",350000,3107674,"1","for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis",NA,"1911-06-13",0
"437","1968","388","Robert W. Holley","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",350000,3107674,"1/3","for their interpretation of the genetic code and its function in protein synthesis",NA,"1922-01-28",0
"438","1968","389","H. Gobind Khorana","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",350000,3107674,"1/3","for their interpretation of the genetic code and its function in protein synthesis",NA,"1922-01-09",0
"439","1968","390","Marshall W. Nirenberg","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",350000,3107674,"1/3","for their interpretation of the genetic code and its function in protein synthesis",NA,"1927-04-10",0
"440","1969","237","Derek Barton","Chemistry","The Nobel Prize in Chemistry",375000,3239253,"1/2","for their contributions to the development of the concept of conformation and its application in chemistry",NA,"1918-09-08",0
"441","1969","238","Odd Hassel","Chemistry","The Nobel Prize in Chemistry",375000,3239253,"1/2","for their contributions to the development of the concept of conformation and its application in chemistry",NA,"1897-05-17",0
"442","1969","677","Ragnar Frisch","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",375000,3239253,"1/2","for having developed and applied dynamic models for the analysis of economic processes",NA,"1895-03-03",0
"443","1969","678","Jan Tinbergen","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",375000,3239253,"1/2","for having developed and applied dynamic models for the analysis of economic processes",NA,"1903-04-12",0
"444","1969","643","Samuel Beckett","Literature","The Nobel Prize in Literature",375000,3239253,"1","for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation",NA,"1906-04-13",0
"445","1969","527",NA,"Peace","The Nobel Peace Prize",375000,3239253,"1","for creating international legislation insuring certain norms for working conditions in every country","1969-10-20",NA,0
"446","1969","90","Murray Gell-Mann","Physics","The Nobel Prize in Physics",375000,3239253,"1","for his contributions and discoveries concerning the classification of elementary particles and their interactions",NA,"1929-09-15",0
"447","1969","391","Max Delbrück","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",375000,3239253,"1/3","for their discoveries concerning the replication mechanism and the genetic structure of viruses",NA,"1906-09-04",0
"448","1969","392","Alfred D. Hershey","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",375000,3239253,"1/3","for their discoveries concerning the replication mechanism and the genetic structure of viruses",NA,"1908-12-04",0
"449","1969","393","Salvador E. Luria","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",375000,3239253,"1/3","for their discoveries concerning the replication mechanism and the genetic structure of viruses",NA,"1912-08-13",0
"450","1970","239","Luis Leloir","Chemistry","The Nobel Prize in Chemistry",400000,3235593,"1","for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates","1970-10-27","1906-09-06",0
"451","1970","679","Paul A. Samuelson","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",400000,3235593,"1","for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science","1970-10-26","1915-05-15",0
"452","1970","644","Alexandr Solzhenitsyn","Literature","The Nobel Prize in Literature",400000,3235593,"1","for the ethical force with which he has pursued the indispensable traditions of Russian literature","1970-10-08","1918-12-11",0
"453","1970","528","Norman Borlaug","Peace","The Nobel Peace Prize",400000,3235593,"1","for having given a well-founded hope - the green revolution","1970-10-21","1914-03-25",0
"454","1970","91","Hannes Alfvén","Physics","The Nobel Prize in Physics",400000,3235593,"1/2","for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics","1970-10-27","1908-05-30",0
"455","1970","92","Louis Néel","Physics","The Nobel Prize in Physics",400000,3235593,"1/2","for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics","1970-10-27","1904-11-22",0
"456","1970","394","Sir Bernard Katz","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",400000,3235593,"1/3","for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation","1970-10-15","1911-03-26",0
"457","1970","395","Ulf von Euler","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",400000,3235593,"1/3","for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation","1970-10-15","1905-02-07",0
"458","1970","396","Julius Axelrod","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",400000,3235593,"1/3","for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation","1970-10-15","1912-05-30",0
"459","1971","240","Gerhard Herzberg","Chemistry","The Nobel Prize in Chemistry",450000,3382087,"1","for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals",NA,"1904-12-25",0
"460","1971","680","Simon Kuznets","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",450000,3382087,"1","for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development",NA,"1901-04-30",0
"461","1971","645","Pablo Neruda","Literature","The Nobel Prize in Literature",450000,3382087,"1","for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams",NA,"1904-07-12",0
"462","1971","529","Willy Brandt","Peace","The Nobel Peace Prize",450000,3382087,"1","for paving the way for a meaningful dialogue between East and West","1971-10-21","1913-12-18",0
"463","1971","93","Dennis Gabor","Physics","The Nobel Prize in Physics",450000,3382087,"1","for his invention and development of the holographic method",NA,"1900-06-05",0
"464","1971","397","Earl W. Sutherland, Jr.","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",450000,3382087,"1","for his discoveries concerning the mechanisms of the action of hormones",NA,"1915-11-19",0
"465","1972","241","Christian Anfinsen","Chemistry","The Nobel Prize in Chemistry",480000,3406394,"1/2","for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation",NA,"1916-03-26",0
"466","1972","242","Stanford Moore","Chemistry","The Nobel Prize in Chemistry",480000,3406394,"1/4","for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule",NA,"1913-09-04",0
"467","1972","243","William H. Stein","Chemistry","The Nobel Prize in Chemistry",480000,3406394,"1/4","for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule",NA,"1911-06-25",0
